,City,Country,Lat,Lng,Hotel Name
283,Ulladulla, AU,-35.35,150.47,Ulladulla Motel
284,Durban, ZA,-29.86,31.03,The Royal Hotel
285,Carauari, BR,-4.88,-66.9,Tatiana's Hotel
286,Aitape, PG,-3.14,142.35,
287,Oistins, BB,13.07,-59.53,
288,Vila Franca do Campo, PT,37.72,-25.43,Vinha d'Areia Beach Hotel
289,Saysain, PH,14.56,120.39,Villa Dolores Beach Resort
290,Moose Jaw, CA,50.4,-105.53,Grant Hall Hotel
291,Tigil', RU,57.8,158.67,
292,Port Hedland, AU,-20.32,118.57,The Esplanade Hotel
293,Orotukan, RU,62.27,151.7,
294,Severo-Kuril'sk, RU,50.68,156.12,
295,Pierre, US,44.37,-100.35,Super 8 by Wyndham Pierre SD
296,Yar-Sale, RU,66.83,70.83,
297,Sweetwater, US,25.76,-80.37,
298,Nogliki, RU,51.83,143.17,
299,Kuril'sk, RU,45.23,147.88,"гостиница ""Итуруп"""
300,Kulhudhuffushi, MV,6.62,73.07,Hondaafushi Island Resort
301,Balaipungut, ID,1.05,101.28,
302,Viedma, AR,-40.81,-63.0,Residencial Roca
303,Souillac, MU,-20.52,57.52,
304,Pangnirtung, CA,66.15,-65.71,Auyuittuq Lodge (Inns North)
305,Ucluelet, CA,48.93,-125.55,A Snug Harbour Inn
306,Taltal, CL,-25.4,-70.48,Residencial Prat
307,Maceió, BR,-9.67,-35.74,
308,Bilma, NE,18.69,12.92,
309,Deputatsky, RU,69.3,139.9,
310,Buraidah, SA,26.33,43.98,
311,Honiara, SB,-9.43,159.95,Coral Sea Resort & Casino
312,Henties Bay, NA,-22.12,14.28,Desert Rose
313,Neuquén, AR,-38.95,-68.06,Hotel Amucan
314,Lewistown, US,40.6,-77.57,Chestnut-Manor Bed & Breakfast
315,Slave Lake, CA,55.28,-114.77,Super 8 by Wyndham Slave Lake AB
316,Anloga, GH,5.79,0.9,
317,Dicabisagan, PH,17.08,122.42,
318,Sawtell, AU,-30.38,153.1,
319,Terney, RU,45.05,136.61,"Hotel ""Ternay"""
320,Porto Belo, BR,-27.16,-48.55,Morro do Sol Hotel e Eventos
321,Bloomington, US,44.84,-93.3,
322,Toppenish, US,46.38,-120.31,
323,Lac du Bonnet, CA,50.25,-96.06,The Lakeview Inn
324,Yerofey Pavlovich, RU,53.97,121.97,
325,Torbay, CA,47.67,-52.73,
326,Shelburne, CA,44.08,-80.2,
327,Haines Junction, CA,60.75,-137.51,Kluane Green Sprout
328,Wajir, KE,1.75,40.06,The Aaran Hotel
329,Vao, NC,-22.67,167.48,
330,Rock Springs, US,41.59,-109.2,
331,Saint-Joseph, RE,-21.37,55.62,L'Arpège Austral
332,Goreloye, RU,52.94,41.5,
333,Betsiamites, CA,48.94,-68.65,
334,Husavik, IS,66.04,-17.34,Fosshotel Húsavík
335,São João da Barra, BR,-21.64,-41.05,Pousada Porto De Canoas
336,Tuatapere, NZ,-46.13,167.68,Last Light Lodge
337,Manchar, IN,19.0,73.93,
338,Beringovskiy, RU,63.05,179.32,
339,Nouadhibou, MR,20.93,-17.03,Residence Dawha
340,Susuman, RU,62.78,148.17,Sberbank
341,Mastung, PK,29.8,66.84,Al Hasnan Cold Drink Santer
342,Kargasok, RU,59.06,80.86,Gostinitsa Grenada
343,Samarai, PG,-10.62,150.67,
344,Kütahya, TR,39.42,29.98,Hilton Garden Inn Kutahya
345,Assiut, EG,27.18,31.18,
346,Ferrol, ES,43.48,-8.24,Hotel Almendra
347,Alofi, NU,-19.06,-169.92,Taloa Heights
348,Pervomayskoye, RU,43.92,46.71,
349,Lüderitz, NA,-26.65,15.16,Prospectors Inn Hotel
350,Atar, MR,20.52,-13.05,Oumou Elghoura
351,Taoudenni, ML,22.68,-3.98,
352,Shihezi, CN,44.3,86.03,Hanting Hotel
353,Dongsheng, CN,39.82,109.98,Royal International Hotel
354,Willowmore, ZA,-33.29,23.49,Royal Hotel
355,Portland, US,45.52,-122.68,Hotel Lucia
356,Tres Picos, MX,15.87,-93.53,
357,Zavyalovo, RU,54.51,82.45,
358,Mackay, AU,-21.15,149.2,Mackay Oceanside Central Hotel
359,Hambantota, LK,6.12,81.12,
360,Manyana, BW,-23.4,21.72,
361,Comodoro Rivadavia, AR,-45.87,-67.5,Hotel Atlantico
362,Livingstonia, MW,-10.61,34.11,Livingstonia Lodges
363,San Andrés, CO,12.58,-81.7,Hotel Boutique Ataraxy
364,Caceres, ES,39.52,-6.37,
365,Santa Cruz de la Sierra, BO,-17.8,-63.17,
366,Agadez, NE,19.75,10.25,
367,Port Augusta, AU,-32.5,137.77,Sip'n Save - Pastoral Hotel
368,Prince Rupert, CA,54.32,-130.32,Crest Hotel
369,Grindavik, IS,63.84,-22.43,Harbour View
370,Orahovac, XK,42.4,20.65,
371,Umluj, SA,25.02,37.27,
372,Bandiagara, ML,14.35,-3.61,Hotel Cheval Blance
373,Kirakira, SB,-10.45,161.92,
374,Vágur, FO,61.47,-6.81,Hotel Bakkin
375,Coquimbo, CL,-29.95,-71.34,Hotel Iberia de Coquimbo
376,Kumul, CN,42.8,93.45,
377,Mangan, IN,27.52,88.53,
378,Quelimane, MZ,-17.88,36.89,Hotel Flamingo
379,Bintulu, MY,3.17,113.03,
380,Kwang Binh, VN,17.48,106.6,
381,Borkenes, NO,68.77,16.17,
382,Presidencia Roque Sáenz Peña, AR,-26.79,-60.44,Hotel Apart
383,Itarema, BR,-2.92,-39.92,Windvillage
384,Porto Velho, BR,-8.76,-63.9,Oscar Hotel Executive
385,Longyan, CN,25.11,117.02,Super 8 Hotel Longyan Bao Tai
386,Tumpat, MY,6.2,102.17,
387,Yingchuan, CN,34.16,113.46,
388,Kendari, ID,-3.94,122.5,
389,Vestmanna, FO,62.16,-7.17,Vestmanna guesthouse
390,Bethel, US,41.37,-73.41,
391,Saýat, TM,38.78,63.88,
392,Verkh-Usugli, RU,52.7,115.17,
393,Malchin, DE,53.73,12.78,
394,Thompson, CA,55.74,-97.86,Best Western Thompson Hotel & Suites
395,Caravelas, BR,-17.71,-39.25,
396,Pochutla, MX,15.74,-96.47,Hotel Izala
397,Stevens Point, US,44.52,-89.57,
